ts_level,ts_label,timeslice_id,season_code,tod_code,n_seasons,n_tod_blocks,months,hours_1indexed,n_hours_per_day,n_days_in_season,annual_hours,fraction_of_year
ts_72,TS72,S1_H02,S1,H02,6,12,"[1, 12]","[4, 5, 6]",3,62,186,0.021233
ts_72,TS72,S1_H03,S1,H03,6,12,"[1, 12]",[7],1,62,62,0.007078
ts_72,TS72,S1_H04,S1,H04,6,12,"[1, 12]",[8],1,62,62,0.007078
ts_72,TS72,S1_H05,S1,H05,6,12,"[1, 12]",[9],1,62,62,0.007078
ts_72,TS72,S1_H06,S1,H06,6,12,"[1, 12]","[10, 11]",2,62,124,0.014155
ts_72,TS72,S1_H07,S1,H07,6,12,"[1, 12]","[12, 13]",2,62,124,0.014155
ts_72,TS72,S1_H08,S1,H08,6,12,"[1, 12]","[14, 15]",2,62,124,0.014155
ts_72,TS72,S1_H09,S1,H09,6,12,"[1, 12]","[16, 17]",2,62,124,0.014155
ts_72,TS72,S1_H10,S1,H10,6,12,"[1, 12]",[18],1,62,62,0.007078
ts_72,TS72,S1_H11,S1,H11,6,12,"[1, 12]",[19],1,62,62,0.007078
ts_72,TS72,S1_H12,S1,H12,6,12,"[1, 12]","[20, 21]",2,62,124,0.014155
ts_72,TS72,S2_H01,S2,H01,6,12,"[2, 3]","[1, 2, 3, 22, 23, 24]",6,59,354,0.040411
ts_72,TS72,S2_H02,S2,H02,6,12,"[2, 3]","[4, 5, 6]",3,59,177,0.020205
ts_72,TS72,S2_H03,S2,H03,6,12,"[2, 3]",[7],1,59,59,0.006735
ts_72,TS72,S2_H04,S2,H04,6,12,"[2, 3]",[8],1,59,59,0.006735
ts_72,TS72,S2_H05,S2,H05,6,12,"[2, 3]",[9],1,59,59,0.006735
ts_72,TS72,S2_H06,S2,H06,6,12,"[2, 3]","[10, 11]",2,59,118,0.01347
ts_72,TS72,S2_H07,S2,H07,6,12,"[2, 3]","[12, 13]",2,59,118,0.01347
ts_72,TS72,S2_H08,S2,H08,6,12,"[2, 3]","[14, 15]",2,59,118,0.01347
ts_72,TS72,S2_H09,S2,H09,6,12,"[2, 3]","[16, 17]",2,59,118,0.01347
ts_72,TS72,S2_H10,S2,H10,6,12,"[2, 3]",[18],1,59,59,0.006735
ts_72,TS72,S2_H11,S2,H11,6,12,"[2, 3]",[19],1,59,59,0.006735
ts_72,TS72,S2_H12,S2,H12,6,12,"[2, 3]","[20, 21]",2,59,118,0.01347
ts_72,TS72,S3_H01,S3,H01,6,12,"[4, 5]","[1, 2, 3, 22, 23, 24]",6,61,366,0.041781
ts_72,TS72,S3_H02,S3,H02,6,12,"[4, 5]","[4, 5, 6]",3,61,183,0.02089
ts_72,TS72,S3_H03,S3,H03,6,12,"[4, 5]",[7],1,61,61,0.006963
ts_72,TS72,S3_H04,S3,H04,6,12,"[4, 5]",[8],1,61,61,0.006963
ts_72,TS72,S3_H05,S3,H05,6,12,"[4, 5]",[9],1,61,61,0.006963
ts_72,TS72,S3_H06,S3,H06,6,12,"[4, 5]","[10, 11]",2,61,122,0.013927
ts_72,TS72,S3_H07,S3,H07,6,12,"[4, 5]","[12, 13]",2,61,122,0.013927
