fuel,r10_region,region_label,ar6_category,category_label,year,median_price,q25_price,q75_price,unit,n_scenarios
biomass,R10MIDDLE_EAST,Middle East,C7,High-warming weak-policy (reference),2035,1.16,1.09,1.16,USD2010/GJ,7
biomass,R10MIDDLE_EAST,Middle East,C7,High-warming weak-policy (reference),2040,1.17,1.0,1.21,USD2010/GJ,7
biomass,R10MIDDLE_EAST,Middle East,C7,High-warming weak-policy (reference),2045,1.16,1.03,1.26,USD2010/GJ,7
biomass,R10MIDDLE_EAST,Middle East,C7,High-warming weak-policy (reference),2050,1.17,1.03,1.29,USD2010/GJ,7
biomass,R10NORTH_AM,North America,C1,"1.5°C, no/limited overshoot",2020,1.0,1.0,1.0,USD2010/GJ,7
biomass,R10NORTH_AM,North America,C1,"1.5°C, no/limited overshoot",2025,1.05,1.05,1.05,USD2010/GJ,7
biomass,R10NORTH_AM,North America,C1,"1.5°C, no/limited overshoot",2030,1.09,1.09,1.1,USD2010/GJ,7
biomass,R10NORTH_AM,North America,C1,"1.5°C, no/limited overshoot",2035,1.15,1.14,1.15,USD2010/GJ,7
biomass,R10NORTH_AM,North America,C1,"1.5°C, no/limited overshoot",2040,1.19,1.19,1.2,USD2010/GJ,7
biomass,R10NORTH_AM,North America,C1,"1.5°C, no/limited overshoot",2045,1.17,1.15,1.21,USD2010/GJ,7
biomass,R10NORTH_AM,North America,C1,"1.5°C, no/limited overshoot",2050,1.14,1.1,1.16,USD2010/GJ,7
biomass,R10NORTH_AM,North America,C2,"1.5°C, high overshoot",2020,1.0,1.0,1.0,USD2010/GJ,7
biomass,R10NORTH_AM,North America,C2,"1.5°C, high overshoot",2025,1.05,1.05,1.05,USD2010/GJ,7
biomass,R10NORTH_AM,North America,C2,"1.5°C, high overshoot",2030,1.1,1.08,1.1,USD2010/GJ,7
biomass,R10NORTH_AM,North America,C2,"1.5°C, high overshoot",2035,1.14,1.13,1.15,USD2010/GJ,7
biomass,R10NORTH_AM,North America,C2,"1.5°C, high overshoot",2040,1.19,1.18,1.2,USD2010/GJ,7
biomass,R10NORTH_AM,North America,C2,"1.5°C, high overshoot",2045,1.24,1.23,1.26,USD2010/GJ,7
biomass,R10NORTH_AM,North America,C2,"1.5°C, high overshoot",2050,1.3,1.27,1.32,USD2010/GJ,7
biomass,R10NORTH_AM,North America,C3,Likely below 2°C,2020,1.0,1.0,1.0,USD2010/GJ,18
biomass,R10NORTH_AM,North America,C3,Likely below 2°C,2025,1.05,1.0,1.05,USD2010/GJ,18
biomass,R10NORTH_AM,North America,C3,Likely below 2°C,2030,1.1,1.07,1.18,USD2010/GJ,18
biomass,R10NORTH_AM,North America,C3,Likely below 2°C,2035,1.23,1.13,1.64,USD2010/GJ,18
