technology,iea_region,year,capex_lo,capex_mid,capex_hi,fixed_om,efficiency,capacity_factor,unit
en_biomass_chp,ieapg_middle_east,2030,2850.0,2850.0,2850.0,105.0,0.385,0.5,USD2022/kW
en_biomass_chp,ieapg_middle_east,2050,2700.0,2700.0,2700.0,100.0,0.385,0.5,USD2022/kW
en_biomass_chp,ieapg_russia,2022,3500.0,3500.0,3500.0,130.0,0.385,0.4,USD2022/kW
en_biomass_chp,ieapg_russia,2030,3400.0,3400.0,3400.0,130.0,0.385,0.4,USD2022/kW
en_biomass_chp,ieapg_russia,2050,3250.0,3250.0,3250.0,120.0,0.385,0.4,USD2022/kW
en_biomass_chp,ieapg_united_states,2022,4050.0,4050.0,4050.0,150.0,0.385,0.5,USD2022/kW
en_biomass_chp,ieapg_united_states,2030,3950.0,3950.0,3950.0,150.0,0.385,0.5,USD2022/kW
en_biomass_chp,ieapg_united_states,2050,3850.0,3850.0,3850.0,145.0,0.385,0.5,USD2022/kW
en_biomass_cofiring,ieapg_africa,2022,525.0,525.0,525.0,20.0,0.37,0.4,USD2022/kW
en_biomass_cofiring,ieapg_africa,2030,500.0,500.0,500.0,20.0,0.37,0.4,USD2022/kW
en_biomass_cofiring,ieapg_africa,2050,500.0,500.0,500.0,20.0,0.37,0.4,USD2022/kW
en_biomass_cofiring,ieapg_brazil,2022,550.0,550.0,550.0,20.0,0.37,0.7,USD2022/kW
en_biomass_cofiring,ieapg_brazil,2030,550.0,550.0,550.0,20.0,0.37,0.7,USD2022/kW
en_biomass_cofiring,ieapg_brazil,2050,525.0,525.0,525.0,20.0,0.37,0.7,USD2022/kW
en_biomass_cofiring,ieapg_china,2022,400.0,400.0,400.0,15.0,0.37,0.8,USD2022/kW
en_biomass_cofiring,ieapg_china,2030,400.0,400.0,400.0,15.0,0.37,0.8,USD2022/kW
en_biomass_cofiring,ieapg_china,2050,375.0,375.0,375.0,15.0,0.37,0.8,USD2022/kW
en_biomass_cofiring,ieapg_european_union,2022,600.0,600.0,600.0,25.0,0.37,0.6,USD2022/kW
