r10_region,region_label,ar6_category,category_label,year,median_price,q25_price,q75_price,unit,n_scenarios
R10INDIA+,India,C3,Likely below 2°C,2025,25.76,1.11,49.85,USD2010/tCO2,169
R10INDIA+,India,C3,Likely below 2°C,2030,47.87,1.11,77.8,USD2010/tCO2,192
R10INDIA+,India,C3,Likely below 2°C,2035,86.21,66.98,132.18,USD2010/tCO2,169
R10INDIA+,India,C3,Likely below 2°C,2040,123.26,90.53,179.1,USD2010/tCO2,192
R10INDIA+,India,C3,Likely below 2°C,2045,172.36,117.95,229.77,USD2010/tCO2,169
R10INDIA+,India,C3,Likely below 2°C,2050,209.45,147.49,301.21,USD2010/tCO2,192
R10INDIA+,India,C4,Below 2°C with lower probability,2020,0.0,0.0,0.07,USD2010/tCO2,74
R10INDIA+,India,C4,Below 2°C with lower probability,2025,0.0,0.0,19.26,USD2010/tCO2,68
R10INDIA+,India,C4,Below 2°C with lower probability,2030,1.11,0.0,36.09,USD2010/tCO2,74
R10INDIA+,India,C4,Below 2°C with lower probability,2035,52.06,41.63,77.38,USD2010/tCO2,68
R10INDIA+,India,C4,Below 2°C with lower probability,2040,75.8,57.1,106.01,USD2010/tCO2,74
R10INDIA+,India,C4,Below 2°C with lower probability,2045,94.56,72.43,145.68,USD2010/tCO2,68
R10INDIA+,India,C4,Below 2°C with lower probability,2050,112.27,92.44,161.43,USD2010/tCO2,74
R10INDIA+,India,C7,High-warming weak-policy (reference),2020,0.0,0.0,0.28,USD2010/tCO2,56
R10INDIA+,India,C7,High-warming weak-policy (reference),2025,0.0,0.0,0.26,USD2010/tCO2,51
R10INDIA+,India,C7,High-warming weak-policy (reference),2030,0.0,0.0,0.63,USD2010/tCO2,56
R10INDIA+,India,C7,High-warming weak-policy (reference),2035,0.0,0.0,1.06,USD2010/tCO2,51
R10INDIA+,India,C7,High-warming weak-policy (reference),2040,0.0,0.0,1.54,USD2010/tCO2,56
R10INDIA+,India,C7,High-warming weak-policy (reference),2045,0.0,0.0,2.08,USD2010/tCO2,51
R10INDIA+,India,C7,High-warming weak-policy (reference),2050,0.0,0.0,2.68,USD2010/tCO2,56
R10LATIN_AM,Latin America,C1,"1.5°C, no/limited overshoot",2020,0.55,0.0,13.55,USD2010/tCO2,60
R10LATIN_AM,Latin America,C1,"1.5°C, no/limited overshoot",2025,153.36,108.64,200.87,USD2010/tCO2,60
R10LATIN_AM,Latin America,C1,"1.5°C, no/limited overshoot",2030,220.73,173.6,252.97,USD2010/tCO2,60
R10LATIN_AM,Latin America,C1,"1.5°C, no/limited overshoot",2035,286.86,236.35,439.44,USD2010/tCO2,60
R10LATIN_AM,Latin America,C1,"1.5°C, no/limited overshoot",2040,360.55,289.44,573.35,USD2010/tCO2,60
R10LATIN_AM,Latin America,C1,"1.5°C, no/limited overshoot",2045,471.06,352.78,713.93,USD2010/tCO2,60
R10LATIN_AM,Latin America,C1,"1.5°C, no/limited overshoot",2050,581.75,409.79,771.78,USD2010/tCO2,60
R10LATIN_AM,Latin America,C2,"1.5°C, high overshoot",2020,0.0,0.0,0.95,USD2010/tCO2,86
R10LATIN_AM,Latin America,C2,"1.5°C, high overshoot",2025,28.56,22.45,61.4,USD2010/tCO2,75
R10LATIN_AM,Latin America,C2,"1.5°C, high overshoot",2030,57.59,28.65,83.92,USD2010/tCO2,86
R10LATIN_AM,Latin America,C2,"1.5°C, high overshoot",2035,135.74,87.23,201.85,USD2010/tCO2,75
R10LATIN_AM,Latin America,C2,"1.5°C, high overshoot",2040,169.66,111.56,257.75,USD2010/tCO2,86
R10LATIN_AM,Latin America,C2,"1.5°C, high overshoot",2045,249.21,166.87,348.9,USD2010/tCO2,75
R10LATIN_AM,Latin America,C2,"1.5°C, high overshoot",2050,285.03,194.32,417.87,USD2010/tCO2,86
R10LATIN_AM,Latin America,C3,Likely below 2°C,2020,1.08,0.0,13.55,USD2010/tCO2,192
R10LATIN_AM,Latin America,C3,Likely below 2°C,2025,45.73,17.56,64.96,USD2010/tCO2,169
R10LATIN_AM,Latin America,C3,Likely below 2°C,2030,61.35,34.42,98.94,USD2010/tCO2,192
R10LATIN_AM,Latin America,C3,Likely below 2°C,2035,98.16,71.63,145.52,USD2010/tCO2,169
R10LATIN_AM,Latin America,C3,Likely below 2°C,2040,128.76,98.91,192.35,USD2010/tCO2,192
R10LATIN_AM,Latin America,C3,Likely below 2°C,2045,172.36,120.73,246.99,USD2010/tCO2,169
R10LATIN_AM,Latin America,C3,Likely below 2°C,2050,209.45,147.91,301.21,USD2010/tCO2,192
R10LATIN_AM,Latin America,C4,Below 2°C with lower probability,2020,0.0,0.0,1.08,USD2010/tCO2,74
R10LATIN_AM,Latin America,C4,Below 2°C with lower probability,2025,18.1,11.67,27.61,USD2010/tCO2,68
R10LATIN_AM,Latin America,C4,Below 2°C with lower probability,2030,38.25,25.27,53.43,USD2010/tCO2,74
R10LATIN_AM,Latin America,C4,Below 2°C with lower probability,2035,52.06,41.63,77.38,USD2010/tCO2,68
R10LATIN_AM,Latin America,C4,Below 2°C with lower probability,2040,75.8,57.1,107.93,USD2010/tCO2,74
R10LATIN_AM,Latin America,C4,Below 2°C with lower probability,2045,95.39,73.11,145.68,USD2010/tCO2,68
R10LATIN_AM,Latin America,C4,Below 2°C with lower probability,2050,112.37,92.46,161.43,USD2010/tCO2,74
R10LATIN_AM,Latin America,C7,High-warming weak-policy (reference),2020,0.0,0.0,0.69,USD2010/tCO2,56
R10LATIN_AM,Latin America,C7,High-warming weak-policy (reference),2025,0.0,0.0,2.08,USD2010/tCO2,51
R10LATIN_AM,Latin America,C7,High-warming weak-policy (reference),2030,0.0,0.0,3.27,USD2010/tCO2,56
R10LATIN_AM,Latin America,C7,High-warming weak-policy (reference),2035,0.0,0.0,2.67,USD2010/tCO2,51
R10LATIN_AM,Latin America,C7,High-warming weak-policy (reference),2040,0.0,0.0,2.11,USD2010/tCO2,56
R10LATIN_AM,Latin America,C7,High-warming weak-policy (reference),2045,0.0,0.0,3.6,USD2010/tCO2,51
