fuel,r10_region,region_label,ar6_category,category_label,year,median_price,q25_price,q75_price,unit,n_scenarios
biomass,R10MIDDLE_EAST,Middle East,C4,Below 2°C with lower probability,2035,3.94,3.16,5.05,USD2010/GJ,57
biomass,R10MIDDLE_EAST,Middle East,C4,Below 2°C with lower probability,2040,4.47,4.0,5.12,USD2010/GJ,62
biomass,R10MIDDLE_EAST,Middle East,C4,Below 2°C with lower probability,2045,4.62,4.55,4.96,USD2010/GJ,44
biomass,R10MIDDLE_EAST,Middle East,C4,Below 2°C with lower probability,2050,4.7,4.48,6.5,USD2010/GJ,63
biomass,R10MIDDLE_EAST,Middle East,C7,High-warming weak-policy (reference),2020,2.03,0.8,6.72,USD2010/GJ,48
biomass,R10MIDDLE_EAST,Middle East,C7,High-warming weak-policy (reference),2025,4.14,1.52,5.32,USD2010/GJ,43
biomass,R10MIDDLE_EAST,Middle East,C7,High-warming weak-policy (reference),2030,3.5,1.8,5.92,USD2010/GJ,48
biomass,R10MIDDLE_EAST,Middle East,C7,High-warming weak-policy (reference),2035,4.31,2.36,6.62,USD2010/GJ,43
biomass,R10MIDDLE_EAST,Middle East,C7,High-warming weak-policy (reference),2040,2.97,2.1,6.63,USD2010/GJ,48
biomass,R10MIDDLE_EAST,Middle East,C7,High-warming weak-policy (reference),2045,3.26,2.88,6.09,USD2010/GJ,43
biomass,R10MIDDLE_EAST,Middle East,C7,High-warming weak-policy (reference),2050,2.55,1.74,7.01,USD2010/GJ,48
biomass,R10NORTH_AM,North America,C1,"1.5°C, no/limited overshoot",2020,2.54,1.89,3.24,USD2010/GJ,45
biomass,R10NORTH_AM,North America,C1,"1.5°C, no/limited overshoot",2025,6.32,4.13,7.53,USD2010/GJ,46
biomass,R10NORTH_AM,North America,C1,"1.5°C, no/limited overshoot",2030,7.56,6.55,8.56,USD2010/GJ,47
biomass,R10NORTH_AM,North America,C1,"1.5°C, no/limited overshoot",2035,8.02,6.93,9.48,USD2010/GJ,45
biomass,R10NORTH_AM,North America,C1,"1.5°C, no/limited overshoot",2040,12.29,8.74,14.61,USD2010/GJ,47
biomass,R10NORTH_AM,North America,C1,"1.5°C, no/limited overshoot",2045,17.28,9.13,20.1,USD2010/GJ,49
biomass,R10NORTH_AM,North America,C1,"1.5°C, no/limited overshoot",2050,20.01,15.04,24.68,USD2010/GJ,48
biomass,R10NORTH_AM,North America,C2,"1.5°C, high overshoot",2020,3.24,1.76,7.46,USD2010/GJ,62
biomass,R10NORTH_AM,North America,C2,"1.5°C, high overshoot",2025,4.61,2.89,7.11,USD2010/GJ,64
biomass,R10NORTH_AM,North America,C2,"1.5°C, high overshoot",2030,6.12,4.73,9.03,USD2010/GJ,69
biomass,R10NORTH_AM,North America,C2,"1.5°C, high overshoot",2035,6.18,4.17,8.69,USD2010/GJ,64
biomass,R10NORTH_AM,North America,C2,"1.5°C, high overshoot",2040,9.59,6.95,12.46,USD2010/GJ,75
biomass,R10NORTH_AM,North America,C2,"1.5°C, high overshoot",2045,11.58,5.94,14.25,USD2010/GJ,63
biomass,R10NORTH_AM,North America,C2,"1.5°C, high overshoot",2050,14.83,9.85,19.98,USD2010/GJ,73
biomass,R10NORTH_AM,North America,C3,Likely below 2°C,2020,2.54,1.89,3.24,USD2010/GJ,163
biomass,R10NORTH_AM,North America,C3,Likely below 2°C,2025,3.21,2.54,5.0,USD2010/GJ,157
biomass,R10NORTH_AM,North America,C3,Likely below 2°C,2030,5.07,2.32,6.53,USD2010/GJ,160
biomass,R10NORTH_AM,North America,C3,Likely below 2°C,2035,5.24,2.71,6.32,USD2010/GJ,154
biomass,R10NORTH_AM,North America,C3,Likely below 2°C,2040,6.35,4.21,7.78,USD2010/GJ,175
biomass,R10NORTH_AM,North America,C3,Likely below 2°C,2045,6.38,5.0,8.54,USD2010/GJ,155
biomass,R10NORTH_AM,North America,C3,Likely below 2°C,2050,8.13,6.85,13.58,USD2010/GJ,179
biomass,R10NORTH_AM,North America,C4,Below 2°C with lower probability,2020,2.54,2.48,11.18,USD2010/GJ,50
biomass,R10NORTH_AM,North America,C4,Below 2°C with lower probability,2025,2.63,1.87,3.77,USD2010/GJ,58
biomass,R10NORTH_AM,North America,C4,Below 2°C with lower probability,2030,2.86,1.73,36.04,USD2010/GJ,64
biomass,R10NORTH_AM,North America,C4,Below 2°C with lower probability,2035,2.72,2.01,3.25,USD2010/GJ,56
biomass,R10NORTH_AM,North America,C4,Below 2°C with lower probability,2040,3.31,2.06,4.99,USD2010/GJ,63
