demand_variable,r10_region,region_label,ar6_category,category_label,year,median_twh,q25_twh,q75_twh,unit,n_scenarios
elec_buildings,R10INDIA+,India,C3,Likely below 2°C,2035,2004.57,1089.83,2153.0,TWh/yr,215
elec_buildings,R10INDIA+,India,C3,Likely below 2°C,2040,2542.38,1341.28,2801.91,TWh/yr,238
elec_buildings,R10INDIA+,India,C3,Likely below 2°C,2045,3070.69,1547.32,3414.52,TWh/yr,215
elec_buildings,R10INDIA+,India,C3,Likely below 2°C,2050,3773.15,1888.59,4253.42,TWh/yr,238
elec_buildings,R10INDIA+,India,C4,Below 2°C with lower probability,2020,779.62,632.65,1094.75,TWh/yr,102
elec_buildings,R10INDIA+,India,C4,Below 2°C with lower probability,2025,1093.99,787.49,1517.65,TWh/yr,96
elec_buildings,R10INDIA+,India,C4,Below 2°C with lower probability,2030,1502.54,943.93,1885.19,TWh/yr,102
elec_buildings,R10INDIA+,India,C4,Below 2°C with lower probability,2035,1764.91,938.66,2172.03,TWh/yr,96
elec_buildings,R10INDIA+,India,C4,Below 2°C with lower probability,2040,2302.65,1138.91,2791.72,TWh/yr,102
elec_buildings,R10INDIA+,India,C4,Below 2°C with lower probability,2045,2671.09,1437.06,3250.66,TWh/yr,96
elec_buildings,R10INDIA+,India,C4,Below 2°C with lower probability,2050,3299.23,1652.98,3712.98,TWh/yr,102
elec_buildings,R10INDIA+,India,C7,High-warming weak-policy (reference),2020,803.02,714.46,1094.75,TWh/yr,66
elec_buildings,R10INDIA+,India,C7,High-warming weak-policy (reference),2025,1193.65,1017.83,1403.47,TWh/yr,61
elec_buildings,R10INDIA+,India,C7,High-warming weak-policy (reference),2030,1596.96,1458.1,1869.07,TWh/yr,64
elec_buildings,R10INDIA+,India,C7,High-warming weak-policy (reference),2035,2093.35,1995.0,2268.88,TWh/yr,57
elec_buildings,R10INDIA+,India,C7,High-warming weak-policy (reference),2040,2592.57,2448.96,2711.05,TWh/yr,59
elec_buildings,R10INDIA+,India,C7,High-warming weak-policy (reference),2045,3100.19,2824.54,3423.05,TWh/yr,61
elec_buildings,R10INDIA+,India,C7,High-warming weak-policy (reference),2050,3658.62,3428.18,4293.35,TWh/yr,66
elec_buildings,R10LATIN_AM,Latin America,C1,"1.5°C, no/limited overshoot",2020,877.86,801.26,963.01,TWh/yr,69
elec_buildings,R10LATIN_AM,Latin America,C1,"1.5°C, no/limited overshoot",2025,1026.83,933.12,1152.67,TWh/yr,69
elec_buildings,R10LATIN_AM,Latin America,C1,"1.5°C, no/limited overshoot",2030,1254.33,1117.22,1400.25,TWh/yr,69
elec_buildings,R10LATIN_AM,Latin America,C1,"1.5°C, no/limited overshoot",2035,1514.42,1324.48,1700.38,TWh/yr,69
elec_buildings,R10LATIN_AM,Latin America,C1,"1.5°C, no/limited overshoot",2040,1780.06,1587.42,2072.31,TWh/yr,69
elec_buildings,R10LATIN_AM,Latin America,C1,"1.5°C, no/limited overshoot",2045,2038.88,1896.81,2397.62,TWh/yr,69
elec_buildings,R10LATIN_AM,Latin America,C1,"1.5°C, no/limited overshoot",2050,2317.32,2019.36,2739.25,TWh/yr,69
elec_buildings,R10LATIN_AM,Latin America,C2,"1.5°C, high overshoot",2020,876.09,801.26,962.23,TWh/yr,97
elec_buildings,R10LATIN_AM,Latin America,C2,"1.5°C, high overshoot",2025,1014.6,868.18,1177.16,TWh/yr,86
elec_buildings,R10LATIN_AM,Latin America,C2,"1.5°C, high overshoot",2030,1151.43,1007.18,1375.69,TWh/yr,96
elec_buildings,R10LATIN_AM,Latin America,C2,"1.5°C, high overshoot",2035,1360.64,1131.65,1665.65,TWh/yr,86
